I0,I1
25.00000,24.95900
25.00000,24.95900
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96000
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96100
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96200
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96300
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96400
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96500
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96600
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96700
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96800
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.96900
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97000
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97100
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97200
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97300
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97400
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97500
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
25.00000,24.97600
6.45200,24.95800
90.90900,25.02200
142.85699,25.13500
166.66701,25.27100
47.61900,25.29200
25.00000,25.29200
25.00000,25.29100
25.00000,25.29100
25.00000,25.29100
25.00000,25.29100
25.00000,25.29000
25.00000,25.29000
25.00000,25.29000
25.00000,25.29000
25.00000,25.28900
25.00000,25.28900
25.00000,25.28900
25.00000,25.28800
25.00000,25.28800
25.00000,25.28800
25.00000,25.28800
25.00000,25.28700
25.00000,25.28700
25.00000,25.28700
25.00000,25.28700
25.00000,25.28600
25.00000,25.28600
25.00000,25.28600
25.00000,25.28500
25.00000,25.28500
25.00000,25.28500
25.00000,25.28500
25.00000,25.28400
25.00000,25.28400
25.00000,25.28400
25.00000,25.28400
25.00000,25.28300
25.00000,25.28300
25.00000,25.28300
25.00000,25.28300
25.00000,25.28200
25.00000,25.28200
25.00000,25.28200
25.00000,25.28200
25.00000,25.28100
25.00000,25.28100
25.00000,25.28100
25.00000,25.28000
25.00000,25.28000
25.00000,25.28000
25.00000,25.28000
25.00000,25.27900
25.00000,25.27900
25.00000,25.27900
25.00000,25.27900
25.00000,25.27800
25.00000,25.27800
25.00000,25.27800
25.00000,25.27800
25.00000,25.27700
25.00000,25.27700
25.00000,25.27700
25.00000,25.27700
25.00000,25.27600
25.00000,25.27600
25.00000,25.27600
25.00000,25.27600
25.00000,25.27500
25.00000,25.27500
25.00000,25.27500
25.00000,25.27500
25.00000,25.27400
25.00000,25.27400
25.00000,25.27400
25.00000,25.27400
25.00000,25.27300
25.00000,25.27300
25.00000,25.27300
25.00000,25.27300
25.00000,25.27200
25.00000,25.27200
25.00000,25.27200
25.00000,25.27200
25.00000,25.27100
25.00000,25.27100
25.00000,25.27100
25.00000,25.27100
25.00000,25.27100
25.00000,25.27000
25.00000,25.27000
25.00000,25.27000
25.00000,25.27000
25.00000,25.26900
25.00000,25.26900
25.00000,25.26900
25.00000,25.26900
25.00000,25.26800
25.00000,25.26800
25.00000,25.26800
25.00000,25.26800
25.00000,25.26700
25.00000,25.26700
25.00000,25.26700
25.00000,25.26700
25.00000,25.26600
25.00000,25.26600
25.00000,25.26600
25.00000,25.26600
25.00000,25.26600
25.00000,25.26500
25.00000,25.26500
25.00000,25.26500
25.00000,25.26500
25.00000,25.26400
25.00000,25.26400
25.00000,25.26400
25.00000,25.26400
25.00000,25.26300
25.00000,25.26300
25.00000,25.26300
25.00000,25.26300
25.00000,25.26300
25.00000,25.26200
25.00000,25.26200
25.00000,25.26200
25.00000,25.26200
25.00000,25.26100
25.00000,25.26100
25.00000,25.26100
25.00000,25.26100
25.00000,25.26100
25.00000,25.26000
25.00000,25.26000
25.00000,25.26000
25.00000,25.26000
25.00000,25.25900
25.00000,25.25900
25.00000,25.25900
25.00000,25.25900
25.00000,25.25900
25.00000,25.25800
25.00000,25.25800
25.00000,25.25800
25.00000,25.25800
25.00000,25.25700
25.00000,25.25700
25.00000,25.25700
25.00000,25.25700
25.00000,25.25700
25.00000,25.25600
25.00000,25.25600
25.00000,25.25600
25.00000,25.25600
