I0,I1
200.00000,153.03600
166.66701,153.06100
166.66701,153.08600
166.66701,153.11200
250.00000,153.29201
142.85699,153.27200
111.11100,153.19400
166.66701,153.21899
166.66701,153.24400
166.66701,153.26900
166.66701,153.29300
166.66701,153.31799
166.66701,153.34200
200.00000,153.42799
200.00000,153.51300
166.66701,153.53700
200.00000,153.62100
166.66701,153.64500
166.66701,153.66800
200.00000,153.75200
200.00000,153.83600
166.66701,153.85899
125.00000,153.80701
166.66701,153.83000
166.66701,153.85300
142.85699,153.83299
100.00000,153.73700
200.00000,153.82001
200.00000,153.90199
166.66701,153.92400
200.00000,154.00600
166.66701,154.02901
166.66701,154.05099
166.66701,154.07300
166.66701,154.09500
166.66701,154.11700
200.00000,154.19800
142.85699,154.17799
166.66701,154.20000
166.66701,154.22200
166.66701,154.24300
166.66701,154.26500
142.85699,154.24500
166.66701,154.26700
200.00000,154.34599
166.66701,154.36700
111.11100,154.29201
166.66701,154.31400
200.00000,154.39200
166.66701,154.41299
200.00000,154.49100
166.66701,154.51199
200.00000,154.59000
166.66701,154.61000
200.00000,154.68800
166.66701,154.70799
166.66701,154.72800
166.66701,154.74800
166.66701,154.76900
166.66701,154.78900
200.00000,154.86501
166.66701,154.88499
200.00000,154.96001
142.85699,154.94000
200.00000,155.01500
142.85699,154.99500
111.11100,154.92200
166.66701,154.94099
166.66701,154.96100
166.66701,154.98000
166.66701,155.00000
166.66701,155.01900
166.66701,155.03799
166.66701,155.05701
166.66701,155.07600
166.66701,155.09500
200.00000,155.16901
166.66701,155.18800
200.00000,155.26100
166.66701,155.28000
166.66701,155.29800
166.66701,155.31700
166.66701,155.33501
166.66701,155.35400
166.66701,155.37199
166.66701,155.39000
100.00000,155.30099
111.11100,155.23000
166.66701,155.24800
166.66701,155.26601
166.66701,155.28500
166.66701,155.30299
200.00000,155.37399
142.85699,155.35400
166.66701,155.37199
166.66701,155.39000
200.00000,155.46100
142.85699,155.44099
166.66701,155.45900
166.66701,155.47600
166.66701,155.49400
166.66701,155.51199
166.66701,155.52901
142.85699,155.50900
200.00000,155.57899
142.85699,155.55901
100.00000,155.47200
166.66701,155.49001
166.66701,155.50700
200.00000,155.57600
200.00000,155.64500
166.66701,155.66299
200.00000,155.73100
166.66701,155.74800
166.66701,155.76500
200.00000,155.83299
200.00000,155.90100
166.66701,155.91800
200.00000,155.98500
142.85699,155.96500
200.00000,156.03200
142.85699,156.01199
166.66701,156.02901
200.00000,156.09500
200.00000,156.16200
142.85699,156.14200
111.11100,156.07401
166.66701,156.09000
200.00000,156.15601
142.85699,156.13600
200.00000,156.20200
166.66701,156.21800
166.66701,156.23399
166.66701,156.24899
166.66701,156.26500
166.66701,156.28000
166.66701,156.29601
166.66701,156.31100
142.85699,156.29100
200.00000,156.35600
200.00000,156.42101
166.66701,156.43600
166.66701,156.45100
166.66701,156.46600
200.00000,156.53101
142.85699,156.50999
100.00000,156.42700
166.66701,156.44200
200.00000,156.50600
166.66701,156.52100
166.66701,156.53600
111.11100,156.47000
166.66701,156.48399
166.66701,156.49899
166.66701,156.51401
166.66701,156.52901
166.66701,156.54401
166.66701,156.55800
166.66701,156.57300
166.66701,156.58701
166.66701,156.60201
166.66701,156.61600
166.66701,156.63100
142.85699,156.61099
200.00000,156.67300
142.85699,156.65300
100.00000,156.57201
166.66701,156.58701
166.66701,156.60100
166.66701,156.61600
166.66701,156.63000
166.66701,156.64400
250.00000,156.77600
142.85699,156.75700
200.00000,156.81799
166.66701,156.83200
166.66701,156.84500
166.66701,156.85899
200.00000,156.92000
142.85699,156.89999
200.00000,156.96001
142.85699,156.94099
166.66701,156.95399
166.66701,156.96800
166.66701,156.98100
166.66701,156.99500
100.00000,156.91600
166.66701,156.92900
200.00000,156.98900
142.85699,156.96899
200.00000,157.02901
142.85699,157.00900
200.00000,157.06799
142.85699,157.04900
166.66701,157.06200
166.66701,157.07500
166.66701,157.08800
166.66701,157.10201
166.66701,157.11501
166.66701,157.12801
166.66701,157.14101
166.66701,157.15401
166.66701,157.16600
166.66701,157.17900
166.66701,157.19200
142.85699,157.17300
100.00000,157.09599
166.66701,157.10800
200.00000,157.16600
142.85699,157.14700
166.66701,157.16000
166.66701,157.17300
200.00000,157.23000
142.85699,157.21100
200.00000,157.26801
100.00000,157.19200
200.00000,157.24899
166.66701,157.26100
142.85699,157.24200
166.66701,157.25400
166.66701,157.26700
166.66701,157.27901
166.66701,157.29201
166.66701,157.30400
166.66701,157.31700
166.66701,157.32899
100.00000,157.25301
142.85699,157.23500
200.00000,157.29100
142.85699,157.27200
200.00000,157.32800
142.85699,157.30901
200.00000,157.36400
166.66701,157.37700
142.85699,157.35800
166.66701,157.37000
166.66701,157.38200
200.00000,157.43700
62.50000,157.31400
200.00000,157.36900
200.00000,157.42500
166.66701,157.43600
166.66701,157.44800
166.66701,157.46001
200.00000,157.51500
166.66701,157.52699
100.00000,157.45300
166.66701,157.46500
200.00000,157.51900
142.85699,157.50000
166.66701,157.51199
166.66701,157.52400
250.00000,157.64101
142.85699,157.62300
200.00000,157.67599
166.66701,157.68800
166.66701,157.69901
166.66701,157.71001
166.66701,157.72200
166.66701,157.73300
166.66701,157.74400
166.66701,157.75500
166.66701,157.76700
142.85699,157.74800
166.66701,157.75900
166.66701,157.77000
90.90900,157.68700
200.00000,157.74001
200.00000,157.79201
166.66701,157.80299
166.66701,157.81400
166.66701,157.82500
200.00000,157.87801
142.85699,157.85899
200.00000,157.91100
142.85699,157.89301
200.00000,157.94501
142.85699,157.92599
166.66701,157.93700
55.55600,157.81100
166.66701,157.82201
142.85699,157.80299
200.00000,157.85500
142.85699,157.83701
200.00000,157.88800
142.85699,157.87000
100.00000,157.79900
166.66701,157.81000
166.66701,157.82100
166.66701,157.83200
166.66701,157.84200
142.85699,157.82401
200.00000,157.87500
142.85699,157.85699
166.66701,157.86800
166.66701,157.87801
166.66701,157.88901
166.66701,157.89900
142.85699,157.88100
200.00000,157.93201
200.00000,157.98199
142.85699,157.96400
200.00000,158.01500
166.66701,158.02499
166.66701,158.03500
142.85699,158.01700
111.11100,157.96100
166.66701,157.97200
166.66701,157.98199
166.66701,157.99200
166.66701,158.00301
142.85699,157.98500
200.00000,158.03400
142.85699,158.01601
166.66701,158.02699
166.66701,158.03700
200.00000,158.08600
142.85699,158.06799
166.66701,158.07800
166.66701,158.08800
166.66701,158.09801
142.85699,158.08099
166.66701,158.09100
166.66701,158.10100
166.66701,158.11099
142.85699,158.09300
100.00000,158.02499
166.66701,158.03500
200.00000,158.08400
142.85699,158.06599
166.66701,158.07600
166.66701,158.08600
166.66701,158.09599
166.66701,158.10600
166.66701,158.11600
166.66701,158.12601
166.66701,158.13600
166.66701,158.14500
142.85699,158.12801
166.66701,158.13800
166.66701,158.14700
166.66701,158.15700
166.66701,158.16701
111.11100,158.11301
166.66701,158.12300
142.85699,158.10600
100.00000,158.03999
166.66701,158.04900
166.66701,158.05901
166.66701,158.06900
166.66701,158.07899
142.85699,158.06100
200.00000,158.10899
142.85699,158.09100
166.66701,158.10100
166.66701,158.11099
166.66701,158.12000
166.66701,158.13000
166.66701,158.14000
142.85699,158.12199
200.00000,158.16901
142.85699,158.15199
142.85699,158.13499
200.00000,158.18201
200.00000,158.22800
142.85699,158.21100
111.11100,158.15900
166.66701,158.16800
166.66701,158.17799
166.66701,158.18700
166.66701,158.19701
166.66701,158.20599
166.66701,158.21500
166.66701,158.22501
166.66701,158.23399
166.66701,158.24300
166.66701,158.25200
142.85699,158.23599
200.00000,158.28101
142.85699,158.26401
200.00000,158.31000
142.85699,158.29300
166.66701,158.30200
166.66701,158.31100
166.66701,158.32100
142.85699,158.30400
100.00000,158.24001
166.66701,158.25000
166.66701,158.25900
166.66701,158.26801
166.66701,158.27699
142.85699,158.25999
200.00000,158.30499
142.85699,158.28900
200.00000,158.33400
142.85699,158.31700
200.00000,158.36200
142.85699,158.34500
