px,py,fx,fy,zx,zy,zs
0.41857,0.79429,0.54286,0.59143,1.00000,0.99565,0.99783
0.41571,0.79000,0.54000,0.58714,0.99745,0.99563,0.99654
0.41143,0.78571,0.53571,0.58286,0.99489,0.99781,0.99635
0.40571,0.78286,0.53000,0.58000,0.98201,1.00000,0.99104
0.39571,0.77714,0.52000,0.57429,0.97120,0.97802,0.97462
0.39286,0.77429,0.51714,0.57143,0.98113,0.97528,0.97821
0.38857,0.77143,0.51286,0.56857,0.96978,0.97005,0.96991
0.36857,0.77714,0.49286,0.57429,0.89518,0.94299,0.91940
0.34857,0.79143,0.47286,0.58857,0.88924,0.90932,0.89934
0.33857,0.79857,0.46286,0.59571,0.88612,0.90305,0.89462
0.33571,0.79429,0.46000,0.59143,0.87952,0.94785,0.91432
0.33286,0.79143,0.45714,0.58857,0.76256,0.87702,0.82178
0.33286,0.79143,0.45714,0.58857,0.91617,0.90775,0.91197
0.33429,0.78429,0.45857,0.58143,0.97386,0.93089,0.95262
0.33571,0.77857,0.46000,0.57571,0.97987,0.95633,0.96817
0.33429,0.78000,0.45857,0.57714,0.95890,0.95890,0.95890
0.33714,0.78000,0.46143,0.57714,0.93571,0.93333,0.93453
0.34286,0.78000,0.46714,0.57714,0.94656,0.95408,0.95033
0.34286,0.78000,0.46714,0.57714,1.00000,1.00000,1.00000
0.34429,0.77857,0.46857,0.57571,0.98387,0.97861,0.98124
0.34429,0.77857,0.46857,0.57571,1.00000,1.00000,1.00000
0.34857,0.77857,0.47286,0.57571,1.04098,1.01639,1.02876
0.34857,0.77857,0.47286,0.57571,1.00000,1.00000,1.00000
0.36857,0.77429,0.49286,0.57143,1.20472,1.08064,1.14437
0.38714,0.77286,0.51143,0.57000,1.15033,1.10448,1.12764
0.39429,0.77143,0.51857,0.56857,1.10227,1.10360,1.10294
0.39571,0.77143,0.52000,0.56857,1.06186,1.07347,1.06768
0.40000,0.77714,0.52429,0.57429,1.10194,1.08745,1.09472
0.41143,0.78000,0.53571,0.57714,1.12775,1.08392,1.10605
0.41857,0.78000,0.54286,0.57714,1.08594,1.04516,1.06574
0.41857,0.77857,0.54286,0.57571,1.08993,1.08025,1.08510
0.41429,0.78000,0.53857,0.57714,1.04621,1.04857,1.04739
0.41429,0.78429,0.53857,0.58143,1.08833,1.06267,1.07558
0.41714,0.78714,0.54143,0.58429,1.05507,1.03590,1.04553
