I0,I1,I2,I3,I4,I5,I6
71.71429,37.14286,46.14286,60.00000,1.00000,100.00000,100.00000
71.57143,37.85714,46.00000,60.71429,0.95513,94.01198,94.76537
71.57143,37.85714,46.00000,60.71429,1.00000,100.00000,100.00000
71.85714,38.42857,46.28572,61.28572,0.94631,92.35669,93.50069
71.85714,38.42857,46.28572,61.28572,1.00000,100.00000,100.00000
72.28571,38.71429,46.71429,61.57143,0.92908,91.72414,92.31787
72.28571,38.71429,46.71429,61.57143,1.00000,100.00000,100.00000
72.57143,39.00000,47.00000,61.85714,0.96183,96.99248,96.58869
72.57143,39.00000,47.00000,61.85714,1.00000,100.00000,100.00000
79.57143,28.00000,47.00000,51.57143,1.00000,100.00000,100.00000
79.57143,28.00000,47.00000,51.57143,1.00000,100.00000,100.00000
79.57143,28.00000,47.00000,51.57143,1.00000,100.00000,100.00000
79.57143,28.00000,47.00000,51.57143,1.00000,100.00000,100.00000
79.57143,28.00000,47.00000,51.57143,1.00000,100.00000,100.00000
79.57143,28.00000,47.00000,51.57143,1.00000,100.00000,100.00000
79.71429,27.85714,47.14286,51.42857,0.92325,94.84848,93.59503
79.71429,27.85714,47.14286,51.42857,1.00000,100.00000,100.00000
79.57143,28.71428,47.00000,52.28571,0.88361,92.97124,90.69544
79.57143,28.71428,47.00000,52.28571,1.00000,100.00000,100.00000
79.57143,29.42857,47.00000,53.00000,0.90323,93.81443,92.08506
79.57143,29.42857,47.00000,53.00000,1.00000,100.00000,100.00000
78.85714,30.28571,46.28572,53.85714,0.92559,92.67400,92.61678
78.85714,30.28571,46.28572,53.85714,1.00000,100.00000,100.00000
78.28571,31.28572,45.71429,54.85714,0.94534,93.67589,94.10580
78.28571,31.28572,45.71429,54.85714,1.00000,100.00000,100.00000
77.14286,32.42857,44.57143,56.00000,0.93197,91.13924,92.17400
77.14286,32.42857,44.57143,56.00000,1.00000,100.00000,100.00000
76.14286,33.14286,43.57143,56.71428,0.93431,93.05556,93.24329
76.14286,33.14286,43.57143,56.71428,1.00000,100.00000,100.00000
75.42857,34.00000,42.85714,57.57143,0.91406,92.53732,91.97352
75.42857,34.00000,42.85714,57.57143,1.00000,100.00000,100.00000
75.28571,34.57143,42.71429,58.14286,0.92308,93.54839,92.93011
75.28571,34.57143,42.71429,58.14286,1.00000,100.00000,100.00000
76.00000,34.85714,43.42857,58.42857,0.91204,94.82758,93.03329
76.00000,34.85714,43.42857,58.42857,1.00000,100.00000,100.00000
77.42857,35.42857,44.85714,59.00000,0.87310,92.12122,89.74769
77.42857,35.42857,44.85714,59.00000,1.00000,100.00000,100.00000
77.85714,35.85714,45.28571,59.42857,0.91279,91.44737,91.36326
77.85714,35.85714,45.28571,59.42857,1.00000,100.00000,100.00000
77.28571,36.57143,44.71429,60.14286,0.89809,91.36691,90.59126
77.28571,36.57143,44.71429,60.14286,1.00000,100.00000,100.00000
76.42857,37.28572,43.85714,60.85714,0.90071,92.12598,91.10425
76.42857,37.28572,43.85714,60.85714,1.00000,100.00000,100.00000
76.28571,37.71428,43.71429,61.28572,0.94488,94.87180,94.68019
76.28571,37.71428,43.71429,61.28572,1.00000,100.00000,100.00000
75.71429,33.00000,46.71429,53.71429,1.00000,100.00000,100.00000
75.71429,33.00000,46.71429,53.71429,1.00000,100.00000,100.00000
75.71429,33.00000,46.71429,53.71429,1.00000,100.00000,100.00000
75.71429,33.00000,46.71429,53.71429,1.00000,100.00000,100.00000
77.57143,32.57143,48.57143,53.28571,0.90617,94.48276,92.57019
77.57143,32.57143,48.57143,53.28571,1.00000,100.00000,100.00000
74.57143,34.85714,45.57143,55.57143,0.81199,86.86131,84.07780
74.57143,34.85714,45.57143,55.57143,1.00000,100.00000,100.00000
74.28571,35.28571,45.28571,56.00000,0.94966,95.79832,95.38329
74.28571,35.28571,45.28571,56.00000,1.00000,100.00000,100.00000
72.57143,36.42857,43.57143,57.14286,0.88339,89.47369,88.90826
72.57143,36.42857,43.57143,57.14286,1.00000,100.00000,100.00000
71.57143,37.57143,42.57143,58.28571,0.87200,86.27451,86.73849
71.57143,37.57143,42.57143,58.28571,1.00000,100.00000,100.00000
71.85714,38.14286,42.85714,58.85714,0.90367,89.20454,89.78764
71.85714,38.14286,42.85714,58.85714,1.00000,100.00000,100.00000
72.85714,38.85714,43.85714,59.57143,0.78680,86.62421,82.74759
72.85714,38.85714,43.85714,59.57143,1.00000,100.00000,100.00000
