I0,I1,I2,I3,I4,I5,I6
11.14286,100.00000,54.14286,56.85714,2.87059,223.94724,296.40887
11.57143,100.00000,54.57143,56.85714,3.10588,237.42902,317.49515
11.42857,100.00000,54.42857,56.85714,3.50588,257.65167,351.52921
10.42857,100.42857,53.42857,57.28571,3.69412,267.38852,367.61917
9.85714,100.28571,52.85714,57.14286,3.95294,283.11728,391.31534
9.71429,100.14286,52.71429,57.00000,4.20000,296.59906,412.87131
10.14286,100.14286,53.14286,57.00000,4.44706,311.57880,435.44406
10.71429,100.14286,53.71429,57.00000,4.77647,331.80145,465.70691
10.85714,100.14286,53.85714,57.00000,5.00000,343.03629,484.49783
11.00000,100.00000,54.00000,56.85714,5.24706,356.51807,505.99442
10.85714,99.71429,53.85714,56.57143,5.44706,369.25085,524.67377
10.71429,99.57143,53.71429,56.42857,5.64706,379.73666,541.76013
10.57143,99.42857,53.57143,56.28571,5.85882,389.47351,558.87311
10.71429,99.28571,53.71429,56.14285,6.07059,398.46133,575.43335
10.85714,99.14285,53.85714,56.00000,6.25882,405.95120,589.77344
11.00000,99.00000,54.00000,55.85715,6.43529,414.93906,604.61945
11.14286,98.85714,54.14286,55.71429,6.61176,423.92694,619.46014
11.14286,98.42857,54.14286,55.28572,6.81177,433.66376,635.94708
11.14286,98.42857,54.14286,55.28572,6.81177,433.66376,635.94708
11.57143,98.00000,54.57143,54.85714,7.04706,443.40057,654.08124
11.57143,98.00000,54.57143,54.85714,7.04706,443.40057,654.08124
12.71429,97.00000,55.71429,53.85714,7.43530,462.87427,686.47162
12.71429,97.00000,55.71429,53.85714,7.43530,462.87427,686.47162
12.14286,97.00000,55.14286,53.85714,7.56471,471.11316,698.55511
12.14286,97.00000,55.14286,53.85714,7.56471,471.11316,698.55511
12.00000,97.28571,55.00000,54.14286,7.72941,479.35205,712.26971
12.00000,97.28571,55.00000,54.14286,7.72941,479.35205,712.26971
12.00000,97.28571,55.00000,54.14286,7.77647,483.09698,717.22052
12.00000,97.28571,55.00000,54.14286,7.77647,483.09698,717.22052
12.00000,97.28571,55.00000,54.14286,7.77647,483.09698,717.22052
12.00000,97.28571,55.00000,54.14286,7.77647,483.09698,717.22052
12.00000,97.42857,55.00000,54.28572,7.77647,483.84601,717.77667
12.00000,97.42857,55.00000,54.28572,7.77647,483.84601,717.77667
12.00000,97.42857,55.00000,54.28572,7.77647,483.84601,717.77667
12.00000,97.42857,55.00000,54.28572,7.77647,483.84601,717.77667
12.00000,97.42857,55.00000,54.28572,7.77647,483.84601,717.77667
12.00000,97.42857,55.00000,54.28572,7.77647,483.84601,717.77667
12.14286,97.42857,55.14286,54.28572,7.70588,477.85410,710.07562
12.14286,97.42857,55.14286,54.28572,7.70588,477.85410,710.07562
12.42857,97.28571,55.42857,54.14286,7.43530,459.87839,684.25354
12.42857,97.28571,55.42857,54.14286,7.43530,459.87839,684.25354
12.85714,97.14286,55.85715,54.00000,6.63529,423.17801,620.21204
12.71429,97.42857,55.71429,54.28572,5.95294,393.21851,566.45441
12.71429,97.85714,55.71429,54.71429,5.51765,369.99985,529.03528
12.85714,97.85714,55.85715,54.71429,5.30588,354.27112,507.63974
13.00000,98.00000,56.00000,54.85714,5.08235,338.54239,485.67804
13.00000,98.00000,56.00000,54.85714,4.85883,324.31161,464.79007
13.14286,98.00000,56.14285,54.85714,4.62353,313.07681,445.49695
13.28571,97.85714,56.28571,54.71429,4.43530,303.34000,429.50607
13.42857,97.85714,56.42857,54.71429,4.23529,294.35211,413.47256
13.28571,98.00000,56.28571,54.85714,4.01177,284.61526,395.74384
13.42857,98.00000,56.42857,54.85714,3.78824,273.38043,376.92169
13.57143,98.42857,56.57143,55.28572,3.57647,254.65576,353.48633
13.28571,98.71429,56.28571,55.57143,3.47059,241.17398,338.92188
13.14286,99.14285,56.14285,56.00000,3.30588,229.93918,322.98557
12.42857,99.71429,55.42857,56.57143,3.16471,222.44931,310.83304
11.85714,100.14286,54.85714,57.00000,2.87059,210.46550,288.08054
11.42857,100.42857,54.42857,57.28571,2.67059,201.47765,271.92148
11.42857,100.85714,54.42857,57.71428,2.47059,193.23878,256.22137
